program,mode,threads,time,result
omp9,flat,1,0.0246512,3768
omp9,nested,1,0.0230761,3768
omp9,flat,2,0.0123786,3768
omp9,nested,2,0.0131567,3768
omp9,flat,3,0.00790709,3768
omp9,nested,3,0.0100098,3768
omp9,flat,4,0.00578059,3768
omp9,nested,4,0.0105057,3768
omp9,flat,6,0.00420766,3768
omp9,nested,6,0.00844562,3768
omp9,flat,8,0.00504315,3768
omp9,nested,8,0.00705204,3768
omp9,flat,10,0.00418191,3768
omp9,nested,10,0.00924225,3768
omp9,flat,12,0.00431553,3768
omp9,nested,12,0.00868138,3768
omp9,flat,14,0.00456716,3768
omp9,nested,14,0.00945469,3768
omp9,flat,16,0.00454389,3768
omp9,nested,16,0.021487,3768
